timestamp,x,y,z
1748336245519843,-0.11041,0.0260631,0.382943
1748336245519860,-0.146281,0.0914852,0.373599
1748336245520013,-0.10968,0.0265784,0.402095
1748336245520014,-0.123184,0.0636014,0.311618
1748336245520037,-0.118526,0.047719,0.350921
1748336245520059,-0.106072,0.0410736,0.37778
1748336245520066,-0.128897,0.0858534,0.353589
1748336245520077,-0.0983884,0.0181755,0.345782
1748336245520151,-0.133564,0.0902338,0.362898
1748336245520190,-0.103683,0.0235569,0.390735
1748336245520229,-0.123312,0.0683948,0.345203
1748336245520325,-0.115244,0.0626635,0.322596
1748336245520368,-0.101732,0.0195811,0.372596
1748336245520388,-0.100848,0.0254722,0.385378
1748336245520416,-0.0907091,0.0298745,0.341851
1748336245520465,-0.125567,0.0263791,0.398766
1748336245520489,-0.129842,0.0820249,0.364073
1748336245520508,-0.148744,0.0287312,0.368785
1748336245520551,-0.126348,0.0547612,0.361375
1748336245520572,-0.127637,0.0468193,0.33921
1748336245520580,-0.107619,0.0265387,0.359206
1748336245520648,-0.138764,0.0315527,0.33764
1748336245520857,-0.131361,0.0678706,0.371709
1748336245520862,-0.120711,0.0178593,0.327198
1748336245520929,-0.0986185,0.0259385,0.351164
1748336245520991,-0.100609,0.030641,0.38474
1748336245521048,-0.100828,0.0284514,0.385314
1748336245521067,-0.12735,0.0567317,0.360511
1748336245521100,-0.113602,0.0637631,0.321857
1748336245521146,-0.114221,0.0200471,0.395912
1748336245521189,-0.105295,0.025843,0.390934
1748336245521284,-0.110746,0.0597185,0.313733
1748336245521288,-0.121678,0.0820784,0.330096
1748336245521317,-0.122802,0.0790562,0.333574
1748336245521318,-0.134816,0.0249996,0.337743
1748336245521337,-0.0896703,0.0274161,0.306753
1748336245521413,-0.113622,0.0189376,0.388882
1748336245521454,-0.103396,0.0257744,0.389987
1748336245521512,-0.103544,0.0432675,0.359505
1748336245521530,-0.125016,0.07999,0.343162
1748336245521556,-0.10825,0.0234853,0.402478
1748336245521563,-0.161812,0.0363837,0.397622
1748336245521570,-0.10709,0.0263649,0.376711
1748336245521584,-0.113357,0.0183484,0.409447
1748336245521629,-0.0838994,0.0316207,0.307314
1748336245521650,-0.106959,0.0367944,0.403172
1748336245521662,-0.0882467,0.0285535,0.306258
1748336245521699,-0.109492,0.033332,0.389923
1748336245521706,-0.0957472,0.0232128,0.341113
1748336245521708,-0.140916,0.0350637,0.346442
1748336245521810,-0.108371,0.0236877,0.320365
1748336245521847,-0.105064,0.0246558,0.396275
1748336245521941,-0.111232,0.0172374,0.40207
1748336245521968,-0.127781,0.0703307,0.365779
1748336245522006,-0.116954,0.0353028,0.394968
1748336245522017,-0.100656,0.0246925,0.384885
1748336245522059,-0.108558,0.0211923,0.403281
1748336245522065,-0.146863,0.0987473,0.390971
1748336245522067,-0.101473,0.0324859,0.334438
1748336245522075,-0.136549,0.0881954,0.363153
1748336245522086,-0.106214,0.0399988,0.307244
1748336245522090,-0.136788,0.0714115,0.382934
1748336245522115,-0.120102,0.0303773,0.400635
1748336245522197,-0.108448,0.0238272,0.371193
1748336245522289,-0.100818,0.0299406,0.385282
1748336245522348,-0.155044,0.0344622,0.384815
1748336245522440,-0.0906611,0.0283335,0.310308
1748336245522483,-0.103005,0.0296426,0.372098
1748336245522525,-0.118642,0.0450111,0.38629
1748336245522572,-0.100051,0.0249354,0.356263
1748336245522608,-0.130773,0.0871042,0.35874
1748336245522614,-0.0906565,0.0315611,0.318664
1748336245522626,-0.0850077,0.0339777,0.307081
1748336245522657,-0.115864,0.0195671,0.401836
1748336245522794,-0.150436,0.027636,0.373333
1748336245522811,-0.135329,0.0198119,0.338708
1748336245522852,-0.121822,0.0463931,0.356387
1748336245522943,-0.120896,0.079,0.338966
1748336245522943,-0.112921,0.0317334,0.408292
1748336245522988,-0.120836,0.0348936,0.408078
1748336245523049,-0.115671,0.0572165,0.327271
1748336245523185,-0.0933466,0.0168775,0.346717
1748336245523194,-0.13972,0.0944007,0.379656
1748336245523208,-0.151764,0.0288684,0.380042
1748336245523221,-0.0874286,0.027446,0.30713
1748336245523231,-0.0896664,0.0213198,0.342622
1748336245523343,-0.126757,0.0824597,0.347961
1748336245523353,-0.117114,0.0178248,0.381119
1748336245523455,-0.13527,0.0882612,0.363451
1748336245523470,-0.104372,0.038811,0.312129
1748336245523548,-0.109772,0.0172488,0.402364
1748336245523575,-0.104117,0.0232171,0.397862
1748336245523606,-0.120449,0.0778762,0.334119
1748336245523672,-0.118761,0.0363644,0.406913
1748336245523745,-0.11101,0.0345803,0.395587
1748336245523750,-0.094157,0.0290482,0.318112
1748336245523816,-0.130508,0.0218503,0.329807
1748336245523857,-0.0908862,0.0283347,0.347314
1748336245523903,-0.100621,0.0291543,0.384776
1748336245523931,-0.124092,0.0678174,0.320138
1748336245524048,-0.110872,0.0614901,0.310354
1748336245524080,-0.155099,0.093777,0.389075
1748336245524105,-0.117822,0.0169935,0.322837
1748336245524219,-0.121013,0.0781365,0.33523
1748336245524220,-0.108868,0.0215583,0.410274
1748336245524259,-0.0826668,0.0211865,0.32056
1748336245524326,-0.114878,0.045909,0.347558
1748336245524429,-0.147794,0.0961684,0.392839
1748336245524430,-0.138327,0.0293821,0.342958
1748336245524460,-0.105356,0.0418663,0.365498
1748336245524480,-0.10457,0.022436,0.320321
1748336245524518,-0.126194,0.020944,0.316109
1748336245524606,-0.0994471,0.0258049,0.34038
1748336245524672,-0.103235,0.0381226,0.344392
1748336245524673,-0.0958351,0.0166489,0.356226
1748336245524675,-0.106872,0.021651,0.370912
1748336245524703,-0.146378,0.0981047,0.385433
1748336245524761,-0.123759,0.0826916,0.34334
1748336245524805,-0.0992514,0.0247079,0.385151
1748336245524849,-0.141549,0.0257356,0.347636
1748336245524901,-0.112789,0.0200607,0.396204
1748336245524903,-0.0978941,0.0280315,0.379654
1748336245524983,-0.101251,0.0384039,0.329587
1748336245524995,-0.11314,0.0553192,0.327369
1748336245525011,-0.0942687,0.0298514,0.326955
1748336245525029,-0.121005,0.0537879,0.346091
1748336245525095,-0.132305,0.0889022,0.363243
1748336245525098,-0.107292,0.0235818,0.404086
1748336245525099,-0.108516,0.017745,0.30359
1748336245525118,-0.0814582,0.0251703,0.31607
1748336245525129,-0.0918872,0.0359389,0.336612
1748336245525134,-0.100394,0.0253903,0.384202
1748336245525153,-0.135469,0.0685052,0.383332
1748336245525156,-0.103533,0.0338607,0.396296
1748336245525160,-0.089306,0.0321508,0.31843
1748336245525181,-0.152941,0.0406183,0.386576
1748336245525192,-0.0919081,0.0354129,0.314443
1748336245525202,-0.112397,0.0157723,0.31111
1748336245525250,-0.112105,0.0603785,0.313973
1748336245525315,-0.135967,0.0275963,0.337405
1748336245525403,-0.103029,0.0267656,0.372167
1748336245525418,-0.145829,0.0351654,0.368743
1748336245525426,-0.0918231,0.0167964,0.331843
1748336245525452,-0.158886,0.0334693,0.390636
1748336245525521,-0.120397,0.0238855,0.340845
1748336245525567,-0.10831,0.0172602,0.402656
1748336245525573,-0.098598,0.0228542,0.356133
1748336245525620,-0.137172,0.0777111,0.388452
1748336245525665,-0.113253,0.0430808,0.382501
1748336245525670,-0.114129,0.0589613,0.322916
1748336245525708,-0.0948216,0.0291377,0.357133
1748336245525728,-0.0994611,0.0225063,0.385708
1748336245525747,-0.117733,0.0443402,0.356638
1748336245525750,-0.0994317,0.0269788,0.385613
1748336245525772,-0.116687,0.0510623,0.34139
1748336245525796,-0.091737,0.0270568,0.331601
1748336245525843,-0.137087,0.0836996,0.388255
1748336245525860,-0.111761,0.0310281,0.40942
1748336245525870,-0.100955,0.0209491,0.316661
1748336245525932,-0.12996,0.0750985,0.37181
1748336245525948,-0.170396,0.0324176,0.396161
1748336245525958,-0.158587,0.0402183,0.397428
1748336245526012,-0.131328,0.0707409,0.371631
1748336245526025,-0.107683,0.0385589,0.3545
1748336245526085,-0.108231,0.060201,0.309972
1748336245526109,-0.0934981,0.0319172,0.357313
1748336245526122,-0.0994017,0.0314493,0.385518
1748336245526159,-0.154388,0.0302925,0.379347
1748336245526161,-0.105107,0.02006,0.396404
1748336245526180,-0.129907,0.0228482,0.344985
1748336245526246,-0.117478,0.0300904,0.351685
1748336245526313,-0.0951614,0.0208108,0.305645
1748336245526314,-0.0965471,0.030656,0.322032
1748336245526425,-0.14684,0.0315186,0.367923
1748336245526434,-0.167179,0.0668956,0.382022
1748336245526480,-0.110071,0.0587054,0.314846
1748336245526550,-0.105832,0.0220338,0.404412
1748336245526563,-0.160044,0.0355748,0.397238
1748336245526614,-0.108787,0.0155944,0.307639
1748336245526622,-0.109589,0.0330735,0.395918
1748336245526688,-0.0982433,0.0245127,0.350271
1748336245526706,-0.123087,0.0799456,0.34886
1748336245526724,-0.157598,0.0411016,0.398541
1748336245526752,-0.0894701,0.026304,0.347182
1748336245526758,-0.115778,0.0288877,0.40159
1748336245526761,-0.103649,0.0216061,0.396643
1748336245526766,-0.141865,0.0947315,0.380954
1748336245526826,-0.101788,0.0376254,0.372667
1748336245526833,-0.105132,0.0148177,0.303997
1748336245526851,-0.11489,0.0445651,0.347589
1748336245526906,-0.156266,0.0274611,0.391531
1748336245526954,-0.13052,0.0205719,0.329836
1748336245526969,-0.0892409,0.0296116,0.346592
1748336245526986,-0.123263,0.0504767,0.36088
1748336245527001,-0.112695,0.032314,0.395927
1748336245527054,-0.12779,0.0793688,0.343303
1748336245527072,-0.15502,0.0359516,0.384764
1748336245527090,-0.0990043,0.0239202,0.384508
1748336245527127,-0.101565,0.0183087,0.361626
1748336245527135,-0.115607,0.0635378,0.327121
1748336245527175,-0.090812,0.0297449,0.319027
1748336245527255,-0.0998074,0.0209613,0.316868
1748336245527276,-0.0904904,0.0273398,0.305908
1748336245527280,-0.105803,0.018106,0.371855
1748336245527318,-0.122332,0.0457077,0.361931
1748336245527318,-0.110099,0.0175457,0.409317
1748336245527339,-0.0880129,0.0242675,0.346942
1748336245527405,-0.120765,0.0773728,0.334745
1748336245527430,-0.107276,0.0271457,0.324636
