timestamp,x,y,z
1747396336136396,0.0424496,0.000179194,0.0059863
1747396336136638,0.0427022,0.000173825,0.00557616
1747396336141518,0.0425702,0.00018217,0.00585038
1747396336143116,0.041365,0.000438119,0.00788899
1747396336143192,0.0408278,0.000505519,0.00880166
1747396336143367,0.0423506,0.000353796,0.00623741
1747396336143402,0.0418578,0.000394207,0.00705805
1747396336143646,0.0431025,0.000294131,0.00500569
1747396336143771,0.0433596,0.000273216,0.00459014
1747396336143857,0.0429951,0.000339344,0.00517254
1747396336143880,0.0410974,0.00047082,0.00834223
1747396336144063,0.0428432,0.000316833,0.00542723
1747396336144070,0.0413243,0.000456008,0.00795365
1747396336144124,0.0416305,0.000407379,0.00744191
1747396336144237,0.0427565,0.000353571,0.00556226
1747396336144239,0.042727,0.000366212,0.00560838
1747396336144249,0.0424242,0.000408974,0.00610101
1747396336144347,0.0425817,0.000341359,0.00585481
1747396336144489,0.041365,0.000438119,0.00788899
1747396336144979,0.0418578,0.000394207,0.00705805
1747396336145086,0.0421213,0.000366198,0.00661946
1747396336145115,0.0427416,0.00038393,0.0056555
1747396336145120,0.0436994,0.00030773,0.00408975
1747396336145167,0.0421899,0.000545974,0.00654592
1747396336145252,0.0429947,0.000357703,0.00523896
1747396336145257,0.0424864,0.000412,0.00607794
1747396336145363,0.0434717,0.000320523,0.00445918
1747396336145797,0.0420399,0.00044221,0.0068292
1747396336145880,0.0432207,0.000344149,0.00486743
1747396336145952,0.0421549,0.000562071,0.00660118
1747396336146145,0.0434011,0.000351116,0.0045694
1747396336146167,0.0432458,0.000333286,0.00482825
1747396336146214,0.042548,0.000384708,0.00598067
1747396336146250,0.0422245,0.000530132,0.00649134
1747396336146255,0.0406422,0.000663237,0.00920419
1747396336146257,0.0420051,0.000457893,0.0068846
1747396336146276,0.0437207,0.000298662,0.00405673
1747396336146386,0.0436779,0.000316942,0.00412317
1747396336146392,0.0412628,0.000542785,0.0081464
1747396336146420,0.0431697,0.000366392,0.0049472
1747396336146658,0.0411369,0.000601021,0.00834839
1747396336146658,0.0428778,0.00047792,0.00535562
1747396336146678,0.0424233,0.000440157,0.00617756
1747396336147021,0.0427214,0.000460198,0.00561792
1747396336147031,0.0406888,0.000641355,0.009129
1747396336147232,0.0427512,0.000446888,0.00557142
1747396336148025,0.0422821,0.000571123,0.00632417
1747396336149823,0.0431621,0.000190421,0.00489466
1747396336150279,0.0428335,0.000230136,0.00542204
1747396336150636,0.0421337,0.000241314,0.00657552
1747396336151148,0.0429193,0.000196359,0.00528878
1747396336151224,0.0424072,0.000220877,0.00612576
1747396336151408,0.043188,0.000180333,0.00485446
1747396336151412,0.0426482,0.00021417,0.00572946
1747396336154457,0.042186,0.000201874,0.00643864
1747396336154763,0.0416041,0.000257596,0.00739498
1747396336155184,0.0418425,0.000250134,0.00699746
1747396336155281,0.0421177,0.000228832,0.0065451
1747396336155405,0.0423906,0.000209372,0.00609912
1747396336155433,0.0429016,0.000186601,0.00526913
1747396336155522,0.0418792,0.000235495,0.00694008
1747396336155643,0.0425697,0.000227568,0.00580121
1747396336155707,0.0421521,0.000215244,0.00649155
1747396336155984,0.042631,0.000203474,0.00570615
1747396336156134,0.0425384,0.000239912,0.00584963
1747396336157585,0.0417354,0.00020023,0.00710542
1747396336157591,0.0424412,0.00019677,0.00594853
1747396336157657,0.0424732,0.000184503,0.00589918
1747396336157878,0.0425362,0.000160565,0.0058023
1747396336158771,0.0422253,0.000189772,0.00630185
1747396336158835,0.0422922,0.000164203,0.00619853
1747396336158973,0.0414935,0.000205419,0.00750624
1747396336159448,0.0420502,0.000167819,0.00659421
1747396336161170,0.0425506,1.28624e-05,0.00580837
1747396336161405,0.0423343,0.000294481,0.00626222
1747396336161479,0.0411229,0.000376977,0.00830083
1747396336161496,0.0416138,0.000338727,0.0074676
1747396336161546,0.0428273,0.000263785,0.00545142
1747396336164574,0.04283,0.00011244,0.00542645
1747396336164629,0.0423581,0.000174629,0.00620181
1747396336164757,0.042117,0.000179028,0.00660101
1747396336164905,0.0430499,0.000121136,0.00506734
1747396336165287,0.0425702,0.00018217,0.00585038
1747396336165320,0.0421516,0.000165642,0.00654687
1747396336165434,0.0430661,0.000171604,0.0050428
1747396336165855,0.0431461,0.000141156,0.00491884
1747396336165875,0.0423907,0.000162051,0.00615086
